Date,Open,High,Low,Close,Change,%Change
06/10/2020,2645.0,2722.35,2626.26,2647.45,2.4,0.09
06/11/2020,2603.5,2671.38,2536.23,2557.96,-45.5,-1.75
06/12/2020,2601.21,2621.48,2503.35,2545.02,-56.2,-2.16
06/15/2020,2526.6,2584.0,2508.0,2572.68,46.1,1.82
06/16/2020,2620.0,2620.0,2576.0,2615.27,-4.7,-0.18
06/17/2020,2647.5,2655.0,2631.82,2640.98,-6.5,-0.25
06/18/2020,2647.01,2659.64,2636.11,2653.98,7.0,0.26
06/19/2020,2678.08,2697.43,2659.0,2675.01,-3.1,-0.11
06/22/2020,2684.5,2715.0,2669.0,2713.82,29.3,1.09
06/23/2020,2726.02,2783.11,2718.04,2764.41,38.4,1.41
06/24/2020,2780.0,2796.0,2721.0,2734.4,-45.6,-1.64
06/25/2020,2739.55,2756.23,2712.14,2754.58,15.0,0.55
06/26/2020,2775.06,2782.57,2688.0,2692.87,-82.2,-2.96
06/29/2020,2690.01,2696.8,2630.08,2680.38,-9.6,-0.36
06/30/2020,2685.07,2769.63,2675.03,2758.82,73.8,2.75
07/01/2020,2757.99,2895.0,2754.0,2878.7,120.7,4.38
07/02/2020,2912.01,2955.56,2871.1,2890.3,-21.7,-0.75
07/06/2020,2934.97,3059.88,2930.0,3057.04,122.1,4.16
07/07/2020,3058.55,3069.55,2990.0,3000.12,-58.4,-1.91
07/08/2020,3022.61,3083.97,3012.43,3081.11,58.5,1.94
07/09/2020,3115.99,3193.88,3074.0,3182.63,66.6,2.14
07/10/2020,3191.76,3215.0,3135.7,3200.0,8.2,0.26
07/13/2020,3251.06,3344.29,3068.39,3104.0,-147.1,-4.52
07/14/2020,3089.0,3127.38,2950.0,3084.0,-5.0,-0.16
07/15/2020,3080.23,3098.35,2973.18,3008.87,-71.4,-2.32
07/16/2020,2971.06,3032.0,2918.23,2999.9,28.8,0.97
07/17/2020,3009.0,3024.0,2948.45,2961.97,-47.0,-1.56
07/20/2020,3000.2,3201.36,2994.02,3196.84,196.6,6.55
07/21/2020,3232.49,3240.58,3105.72,3138.29,-94.2,-2.91
07/22/2020,3125.0,3150.0,3065.26,3099.91,-25.1,-0.8
07/23/2020,3098.27,3098.27,2970.0,2986.55,-111.7,-3.61
07/24/2020,2930.0,3031.58,2888.0,3008.91,78.9,2.69
07/27/2020,3062.0,3098.0,3015.77,3055.21,-6.8,-0.22
07/28/2020,3054.27,3077.09,2995.76,3000.33,-53.9,-1.77
07/29/2020,3030.99,3039.16,2996.77,3033.53,2.5,0.08
07/30/2020,3014.0,3092.0,3005.0,3051.88,37.9,1.26
07/31/2020,3244.0,3246.82,3151.0,3164.68,-79.3,-2.45
08/03/2020,3180.51,3184.0,3104.0,3111.89,-68.6,-2.16
08/04/2020,3101.21,3167.24,3101.21,3138.83,37.6,1.21
08/05/2020,3143.77,3213.59,3127.3,3205.03,61.3,1.95
08/06/2020,3194.36,3247.47,3165.43,3225.0,30.6,0.96
08/07/2020,3224.01,3240.81,3140.67,3167.46,-56.6,-1.75
08/10/2020,3170.31,3172.51,3101.52,3148.16,-22.2,-0.7
08/11/2020,3113.2,3159.22,3073.0,3080.67,-32.5,-1.04
08/12/2020,3108.0,3174.39,3101.42,3162.24,54.2,1.75
08/13/2020,3182.99,3217.52,3155.0,3161.02,-22.0,-0.69
08/14/2020,3178.18,3178.24,3120.0,3148.02,-30.2,-0.95
08/17/2020,3173.12,3194.97,3154.18,3182.41,9.3,0.29
08/18/2020,3212.0,3320.0,3205.82,3312.49,100.5,3.13
08/19/2020,3303.01,3315.9,3256.0,3260.48,-42.5,-1.29
08/20/2020,3252.0,3312.62,3238.0,3297.37,45.4,1.4
08/21/2020,3295.0,3314.4,3275.39,3284.72,-10.3,-0.31
08/24/2020,3310.15,3380.32,3257.56,3307.46,-2.7,-0.08
08/25/2020,3294.99,3357.4,3267.0,3346.49,51.5,1.56
08/26/2020,3351.11,3451.74,3344.57,3441.85,90.7,2.71
08/27/2020,3450.05,3453.0,3378.0,3400.0,-50.1,-1.45
08/28/2020,3423.0,3433.37,3386.5,3401.8,-21.2,-0.62
08/31/2020,3408.99,3495.0,3405.0,3450.96,42.0,1.23
09/01/2020,3489.58,3513.87,3467.0,3499.12,9.5,0.27
09/02/2020,3547.0,3552.25,3486.68,3531.45,-15.6,-0.44
09/03/2020,3485.0,3488.41,3303.0,3368.0,-117.0,-3.36
09/04/2020,3318.0,3381.5,3111.13,3294.62,-23.4,-0.7
09/08/2020,3144.0,3250.84,3130.0,3149.84,5.8,0.19
09/09/2020,3202.99,3303.18,3185.0,3268.61,65.6,2.05
