"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2020","2,363.49","2,369.00","2,394.00","2,351.00","4.22M","1.52%"
"Apr 21, 2020","2,328.12","2,416.61","2,428.31","2,279.66","7.48M","-2.74%"
"Apr 20, 2020","2,393.61","2,389.95","2,444.98","2,386.05","5.77M","0.78%"
"Apr 17, 2020","2,375.00","2,372.33","2,400.00","2,316.02","7.93M","-1.38%"
"Apr 16, 2020","2,408.19","2,346.00","2,461.00","2,335.00","12.04M","4.36%"
"Apr 15, 2020","2,307.68","2,257.68","2,333.37","2,245.00","6.87M","1.07%"
"Apr 14, 2020","2,283.32","2,200.47","2,292.00","2,186.21","8.09M","5.28%"
"Apr 13, 2020","2,168.87","2,040.00","2,180.00","2,038.00","6.72M","6.17%"
"Apr 09, 2020","2,042.76","2,044.30","2,053.00","2,017.66","4.66M","-0.01%"
"Apr 08, 2020","2,043.00","2,021.00","2,044.00","2,011.15","3.98M","1.56%"
"Apr 07, 2020","2,011.60","2,017.11","2,035.72","1,997.62","5.11M","0.70%"
"Apr 06, 2020","1,997.59","1,936.00","1,998.52","1,930.02","5.77M","4.77%"
"Apr 03, 2020","1,906.59","1,911.15","1,926.33","1,889.15","3.61M","-0.64%"
"Apr 02, 2020","1,918.83","1,901.64","1,927.53","1,890.00","4.34M","0.58%"
"Apr 01, 2020","1,907.70","1,932.97","1,944.96","1,893.00","4.12M","-2.16%"
"Mar 31, 2020","1,949.72","1,964.35","1,993.02","1,944.01","5.12M","-0.72%"
"Mar 30, 2020","1,963.95","1,922.83","1,973.63","1,912.34","6.13M","3.36%"
"Mar 27, 2020","1,900.10","1,930.86","1,939.79","1,899.92","5.39M","-2.83%"
"Mar 26, 2020","1,955.49","1,902.00","1,956.49","1,889.29","6.24M","3.69%"
"Mar 25, 2020","1,885.84","1,920.69","1,950.26","1,885.78","6.48M","-2.80%"
"Mar 24, 2020","1,940.10","1,951.49","1,955.00","1,900.34","7.15M","1.96%"
"Mar 23, 2020","1,902.83","1,827.75","1,919.40","1,812.00","7.81M","3.07%"
"Mar 20, 2020","1,846.09","1,926.31","1,957.00","1,820.73","9.82M","-1.85%"
"Mar 19, 2020","1,880.93","1,860.00","1,945.00","1,832.65","10.40M","2.78%"
"Mar 18, 2020","1,830.00","1,750.00","1,841.66","1,745.00","9.65M","1.23%"
"Mar 17, 2020","1,807.84","1,775.47","1,857.78","1,689.24","10.92M","7.03%"
"Mar 16, 2020","1,689.15","1,641.51","1,759.45","1,626.03","8.92M","-5.37%"
"Mar 13, 2020","1,785.00","1,755.00","1,786.31","1,680.62","8.81M","6.46%"
"Mar 12, 2020","1,676.61","1,721.98","1,765.00","1,675.00","11.35M","-7.92%"
"Mar 11, 2020","1,820.86","1,857.85","1,871.32","1,801.50","5.65M","-3.75%"
"Mar 10, 2020","1,891.82","1,870.88","1,894.27","1,818.17","7.13M","5.07%"
"Mar 09, 2020","1,800.61","1,773.86","1,862.77","1,761.29","7.81M","-5.29%"
"Mar 06, 2020","1,901.09","1,875.00","1,910.87","1,869.50","5.27M","-1.19%"
"Mar 05, 2020","1,924.03","1,933.00","1,960.72","1,910.00","4.75M","-2.62%"
"Mar 04, 2020","1,975.83","1,946.57","1,978.00","1,922.00","4.77M","3.50%"
"Mar 03, 2020","1,908.99","1,975.37","1,996.33","1,888.09","7.53M","-2.30%"
"Mar 02, 2020","1,953.95","1,906.49","1,954.51","1,870.00","6.76M","3.73%"
"Feb 28, 2020","1,883.75","1,814.63","1,889.76","1,811.13","9.49M","-0.03%"
"Feb 27, 2020","1,884.30","1,934.38","1,975.00","1,882.76","8.14M","-4.81%"
"Feb 26, 2020","1,979.59","1,970.28","2,014.67","1,960.45","5.24M","0.35%"
"Feb 25, 2020","1,972.74","2,026.42","2,034.60","1,958.42","6.22M","-1.82%"
"Feb 24, 2020","2,009.29","2,003.18","2,039.30","1,987.97","6.55M","-4.14%"
"Feb 21, 2020","2,095.97","2,142.15","2,144.55","2,088.00","4.65M","-2.65%"
"Feb 20, 2020","2,153.10","2,173.07","2,176.79","2,127.45","3.13M","-0.79%"
"Feb 19, 2020","2,170.22","2,167.80","2,185.10","2,161.12","2.56M","0.67%"
"Feb 18, 2020","2,155.67","2,125.02","2,166.07","2,124.11","2.95M","0.97%"
"Feb 14, 2020","2,134.87","2,155.68","2,159.04","2,125.89","2.61M","-0.70%"
"Feb 13, 2020","2,149.87","2,144.99","2,170.28","2,142.00","3.03M","-0.47%"
"Feb 12, 2020","2,160.00","2,163.20","2,180.25","2,155.29","3.33M","0.43%"
"Feb 11, 2020","2,150.80","2,150.90","2,185.95","2,136.00","5.75M","0.79%"
"Feb 10, 2020","2,133.91","2,085.01","2,135.60","2,084.96","5.06M","2.63%"
"Feb 07, 2020","2,079.28","2,041.99","2,098.53","2,038.10","5.10M","1.42%"
"Feb 06, 2020","2,050.23","2,041.02","2,056.30","2,024.80","3.18M","0.51%"
"Feb 05, 2020","2,039.87","2,071.02","2,071.02","2,032.00","4.38M","-0.48%"
"Feb 04, 2020","2,049.67","2,029.88","2,059.80","2,015.37","5.29M","2.27%"
"Feb 03, 2020","2,004.20","2,010.60","2,048.50","2,000.25","5.90M","-0.23%"
"Jan 31, 2020","2,008.72","2,051.47","2,055.72","2,002.27","15.57M","7.38%"
"Jan 30, 2020","1,870.68","1,858.00","1,872.87","1,850.61","6.33M","0.68%"
"Jan 29, 2020","1,858.00","1,864.00","1,874.75","1,855.02","2.10M","0.26%"
"Jan 28, 2020","1,853.25","1,840.50","1,858.11","1,830.02","2.81M","1.36%"
"Jan 27, 2020","1,828.34","1,820.00","1,841.00","1,815.34","3.53M","-1.79%"
"Jan 24, 2020","1,861.64","1,891.37","1,894.99","1,847.44","3.77M","-1.22%"
"Jan 23, 2020","1,884.58","1,885.11","1,889.97","1,872.76","2.48M","-0.15%"
"Jan 22, 2020","1,887.46","1,896.09","1,902.50","1,883.34","3.22M","-0.24%"
"Jan 21, 2020","1,892.00","1,865.00","1,894.27","1,860.00","3.71M","1.46%"
"Jan 17, 2020","1,864.72","1,885.89","1,886.64","1,857.25","4.00M","-0.70%"
"Jan 16, 2020","1,877.94","1,882.99","1,885.59","1,866.02","2.66M","0.85%"
"Jan 15, 2020","1,862.02","1,872.25","1,878.86","1,855.09","2.90M","-0.40%"
"Jan 14, 2020","1,869.44","1,885.88","1,887.11","1,858.55","3.45M","-1.16%"
"Jan 13, 2020","1,891.30","1,891.31","1,898.00","1,880.80","2.79M","0.43%"
"Jan 10, 2020","1,883.16","1,905.37","1,906.94","1,880.00","2.86M","-0.94%"
"Jan 09, 2020","1,901.05","1,909.89","1,917.82","1,895.80","3.17M","0.48%"
"Jan 08, 2020","1,891.97","1,898.04","1,911.00","1,886.44","3.51M","-0.78%"
"Jan 07, 2020","1,906.86","1,904.50","1,913.89","1,892.04","4.13M","0.21%"
"Jan 06, 2020","1,902.88","1,860.00","1,903.69","1,860.00","4.07M","1.49%"
"Jan 03, 2020","1,874.97","1,864.50","1,886.20","1,864.50","3.77M","-1.21%"
"Jan 02, 2020","1,898.01","1,875.00","1,898.01","1,864.15","4.04M","2.72%"
"Dec 31, 2019","1,847.84","1,842.00","1,853.26","1,832.23","2.51M","0.05%"
"Dec 30, 2019","1,846.89","1,874.00","1,884.00","1,840.62","3.68M","-1.23%"
"Dec 27, 2019","1,869.80","1,882.92","1,901.40","1,866.01","6.19M","0.06%"
"Dec 26, 2019","1,868.77","1,801.01","1,870.46","1,799.50","6.02M","4.45%"
"Dec 24, 2019","1,789.21","1,793.81","1,795.57","1,787.58","881.34K","-0.21%"
"Dec 23, 2019","1,793.00","1,788.26","1,793.00","1,784.51","2.14M","0.36%"
"Dec 20, 2019","1,786.50","1,799.62","1,802.97","1,782.45","5.15M","-0.32%"
"Dec 19, 2019","1,792.28","1,780.50","1,792.99","1,774.06","2.74M","0.46%"
